accession,verdict,reason_code,n_maf,n_assays,metabolites,identified,with_db_id,with_name,sample_columns,declared_columns,n_samples,factors
MTBLS12704,unusable,maf_columns_declared_but_empty,2,2,2285,0,0,0,0,203,202,Condition=female BMS:8/female MMP:12/female Mig:18/female NVOP Mig:10/female PTN:8/female TMJ:4/female TN:6/female TTH:12/female control:42/femle PTN:2/male BMS:4/male Mig:4/male PTN:12/male TMD:18/male TN:8/male control:34
MTBLS13513,unusable,maf_columns_declared_but_empty,2,2,1225,1225,0,1225,0,182,91,Group=IC:50/QC:11/control:30
MTBLS13869,usable,maf_with_groups_and_identifiers,2,2,1913,1913,1913,1911,20,46,13,Modeling status=Quality Control:3/animal model:5/control:5
MTBLS14059,unusable,maf_columns_declared_but_empty,2,2,580,580,0,580,0,110,55,HFD=0:31/1:24; OA=0:31/1:24; Semaglutide=0:31/1:24
MTBLS14295,unusable,maf_columns_declared_but_empty,2,2,1053,1053,0,1053,0,48,21,OA=0:9/1:12; S-mito=0:17/1:4; C-mito=0:17/1:4
MTBLS14319,unusable,maf_columns_declared_but_empty,4,4,8,0,0,0,0,520,124,Sex=female:60/male:64; Cohort defined by study part (1 and 2)=cohort 1:77/cohort 2:47; Frequency of participation in behavioral experiments=high frequency (HF):63/low frequency (LF):61; Genotype=Wild Type:62/homozygous CACNA1B knockout:62
MTBLS2774,usable,maf_with_groups_and_identifiers,4,4,398,398,398,398,1310,1310,655,Disease=Irritable Bowel Syndrome:523/control:132; Age=18:2/19:4/20:2/21:2/22:2/23:4/24:8/25:8/26:10/27:16/28:14/29:22/30:24/31:12/32:28/33:20/34:12/35:18/36:16/37:10/38:14/39:12/40:14/41:12/42:20/43:12/44:27/45:18/46:24/47:26/48:16/49:14/50:18/51:9/52:32/53:20/54:18/55:8/56:12/57:10/58:17/59:12/60:10/61:12/62:8/63:14/64:12; Gender=Female:389/Male:266; BMI=14.49:2/14.81:2/15.5:2/15.55:2/15.59:2/15.62:2/15.63:1/15.7:2/16.14:4/16.16:2/16.3:2/16.38:2/16.65:2/16.77:2/16.86:2/16.9:2/16.95:2/16.96:2/17.01:2/17.03:2/17.07:2/17.09:2/17.15:2/17.26:2/17.31:4/17.43:2/17.53:2/17.56:2/17.58:4/17.63:2/17.72:2/17.92:2/17.94:4/18:2/18.07:2/18.17:2/18.18:2/18.22:4/18.36:4/18.37:6/18.38:2/18.39:2/18.42:4/18.49:2/18.52:2/18.56:2/18.59:2/18.61:2/18.7:2/18.71:2/18.73:6/18.75:4/18.76:2/18.82:4/18.83:4/18.87:2/18.91:2/18.93:2/19.03:2/19.05:2/19.17:2/19.22:4/19.23:2/19.26:2/19.29:2/19.3:2/19.47:4/19.53:7/19.59:2/19.61:2/19.78:2/19.79:2/19.81:2/19.84:2/19.88:8/19.91:2/19.92:2/19.95:2/19.96:2/20:3/20.02:2/20.03:6/20.05:4/20.06:2/20.08:2/20.2:2/20.24:2/20.25:2/20.28:2/20.31:2/20.34:4/20.4:2/20.42:2/20.43:2/20.45:2/20.46:2/20.5:2/20.51:2/20.52:2/20.54:2/20.55:4/20.58:2/20.69:2/20.7:4/20.72:2/20.76:4/20.83:2/20.9:2/20.95:2/20.96:2/20.98:4/21.08:4/21.09:4/21.19:2/21.22:2/21.23:8/21.26:4/21.3:2/21.31:2/21.36:2/21.37:4/21.38:2/21.4:4/21.45:2/21.48:8/21.5:2/21.6:2/21.63:2/21.72:2/21.73:2/21.79:2/21.8:2/21.88:6/21.91:2/21.95:2/21.97:2/22.04:2/22.06:2/22.07:2/22.15:2/22.16:2/22.17:2/22.19:2/22.2:2/22.22:6/22.23:4/22.27:4/22.31:2/22.34:2/22.39:2/22.4:2/22.41:2/22.43:4/22.44:2/22.47:2/22.48:4/22.49:2/22.51:2/22.54:4/22.6:2/22.64:2/22.66:2/22.68:2/22.72:2/22.76:2/22.77:4/22.86:6/22.95:2/22.96:2/23.03:2/23.12:4/23.18:2/23.28:2/23.29:2/23.3:2/23.34:6/23.44:4/23.5:1/23.51:2/23.52:2/23.53:2/23.56:2/23.57:2/23.66:6/23.67:4/23.73:4/23.8:2/23.83:2/23.84:2/23.88:2/23.94:2/24.03:2/24.09:2/24.14:4/24.22:4/24.23:2/24.25:2/24.32:2/24.34:2/24.54:2/24.71:2/24.74:2/24.77:2/24.8:2/24.81:2/24.84:2/25:2/25.02:2/25.1:4/25.12:2/25.2:2/25.22:2/25.24:4/25.31:2/25.46:2/25.54:2/25.56:2/25.63:1/25.78:2/25.82:2/25.95:2/25.98:2/26.12:4/26.2:2/26.42:2/26.56:2/26.57:4/26.67:2/26.74:2/26.89:4/26.93:2/27.06:2/27.35:2/27.38:2/27.63:2/27.68:4/27.76:2/27.89:2/28.03:2/28.35:2/28.57:2/28.58:2/28.67:2/28.69:2/28.93:2/29.73:2/29.75:2/30.47:2/31.35:2/32.65:2/33.33:2/34.72:2
MTBLS5667,usable,maf_with_groups_and_identifiers,2,2,466,466,459,466,36,46,23,Cohort=QC:5/high-dose  YQYXF:6/normal control:6/osteoarthritis:6
MTBLS9662,usable_with_work,no_control_arm_in_factors,2,2,1169,1169,1169,1169,84,84,90,Cohort=Mild:30/Moderate:30/Severe:30
