accession,sample_id,title,group,subject,reason
GSE155622,GSM4708720,Single Dorsal root ganglion neuron_SNI 14d [N171],,GSM4708720,excluded_not_eligible_on_technology
GSE155622,GSM4708721,Single Dorsal root ganglion neuron_SNI 14d [N172],,GSM4708721,excluded_not_eligible_on_technology
GSE155622,GSM4708722,Single Dorsal root ganglion neuron_SNI 14d [N173],,GSM4708722,excluded_not_eligible_on_technology
GSE155622,GSM4708723,Single Dorsal root ganglion neuron_SNI 14d [N179],,GSM4708723,excluded_not_eligible_on_technology
GSE155622,GSM4708724,Single Dorsal root ganglion neuron_SNI 14d [N180],,GSM4708724,excluded_not_eligible_on_technology
GSE155622,GSM4708725,Single Dorsal root ganglion neuron_SNI 14d [N28],,GSM4708725,excluded_not_eligible_on_technology
GSE155622,GSM4708726,Single Dorsal root ganglion neuron_SNI 14d [N30],,GSM4708726,excluded_not_eligible_on_technology
GSE155622,GSM4708727,Single Dorsal root ganglion neuron_SNI 14d [N36],,GSM4708727,excluded_not_eligible_on_technology
GSE155622,GSM4708728,Single Dorsal root ganglion neuron_SNI 14d [N39],,GSM4708728,excluded_not_eligible_on_technology
GSE155622,GSM4708729,Single Dorsal root ganglion neuron_SNI 14d [N43],,GSM4708729,excluded_not_eligible_on_technology
GSE155622,GSM4708730,Single Dorsal root ganglion neuron_SNI 14d [N44],,GSM4708730,excluded_not_eligible_on_technology
GSE155622,GSM4708731,Single Dorsal root ganglion neuron_SNI 14d [N45],,GSM4708731,excluded_not_eligible_on_technology
GSE155622,GSM4708732,Single Dorsal root ganglion neuron_SNI 14d [N492],,GSM4708732,excluded_not_eligible_on_technology
GSE155622,GSM4708733,Single Dorsal root ganglion neuron_SNI 14d [N494],,GSM4708733,excluded_not_eligible_on_technology
GSE155622,GSM4708734,Single Dorsal root ganglion neuron_SNI 14d [N497],,GSM4708734,excluded_not_eligible_on_technology
GSE155622,GSM4708735,Single Dorsal root ganglion neuron_SNI 14d [N508],,GSM4708735,excluded_not_eligible_on_technology
GSE155622,GSM4708736,Single Dorsal root ganglion neuron_SNI 14d [N514],,GSM4708736,excluded_not_eligible_on_technology
GSE155622,GSM4708737,Single Dorsal root ganglion neuron_SNI 14d [N519],,GSM4708737,excluded_not_eligible_on_technology
GSE155622,GSM4708738,Single Dorsal root ganglion neuron_SNI 14d [N520],,GSM4708738,excluded_not_eligible_on_technology
GSE155622,GSM4708739,Single Dorsal root ganglion neuron_SNI 14d [N532],,GSM4708739,excluded_not_eligible_on_technology
GSE155622,GSM4708740,Single Dorsal root ganglion neuron_SNI 14d [N538],,GSM4708740,excluded_not_eligible_on_technology
GSE155622,GSM4708741,Single Dorsal root ganglion neuron_SNI 14d [N54],,GSM4708741,excluded_not_eligible_on_technology
GSE155622,GSM4708742,Single Dorsal root ganglion neuron_SNI 14d [N56],,GSM4708742,excluded_not_eligible_on_technology
GSE155622,GSM4708743,Single Dorsal root ganglion neuron_SNI 14d [N57],,GSM4708743,excluded_not_eligible_on_technology
GSE155622,GSM4708744,Single Dorsal root ganglion neuron_SNI 14d [N60],,GSM4708744,excluded_not_eligible_on_technology
GSE155622,GSM4708745,Single Dorsal root ganglion neuron_SNI 14d [N61],,GSM4708745,excluded_not_eligible_on_technology
GSE155622,GSM4708746,Single Dorsal root ganglion neuron_SNI 14d [N62],,GSM4708746,excluded_not_eligible_on_technology
GSE155622,GSM4708747,Single Dorsal root ganglion neuron_SNI 14d [N63],,GSM4708747,excluded_not_eligible_on_technology
GSE155622,GSM4708748,Single Dorsal root ganglion neuron_SNI 14d [N64],,GSM4708748,excluded_not_eligible_on_technology
